gene,origin_mechanism,parental_gene
YJL225W-A,DNA-based duplication,YDR545C-A
YJL225W-A,DNA-based duplication,YBL113W-A
YJL225W-A,DNA-based duplication,YHL050W-A
YJL225W-A,DNA-based duplication,YML133W-B
YJL225W-A,DNA-based duplication,YLL066W-A
YJL225W-A,DNA-based duplication,YPL283W-B
YJL225W-A,DNA-based duplication,YER190C-B
YJL225W-A,DNA-based duplication,YNL339W-B
YJL225W-A,DNA-based duplication,YEL077W-A
YJL225W-A,DNA-based duplication,YPR204C-A
YJL225W-A,DNA-based duplication,YIL177W-A
YJL223C,DNA-based duplication,YLR461W
YJL223C,DNA-based duplication,YMR325W
YJL223C,DNA-based duplication,YIR041W
YJL223C,DNA-based duplication,YLR037C
YJL223C,DNA-based duplication,YGR294W
YJL223C,DNA-based duplication,YIL176C
YJL223C,DNA-based duplication,YEL049W
YJL223C,DNA-based duplication,YLL064C
YJL223C,DNA-based duplication,YKL224C
YJL223C,DNA-based duplication,YDR542W
YJL223C,DNA-based duplication like,YJR151C
YJL223C,DNA-based duplication like,YJR150C
YJL223C,DNA-based duplication,YHL046C
YJL223C,DNA-based duplication,YPL282C
YJL223C,DNA-based duplication,YBR301W
YJL223C,DNA-based duplication,YFL020C
YJL223C,DNA-based duplication,YAR020C
YJL223C,DNA-based duplication,YBL108C-A
YJL223C,DNA-based duplication,YLL025W
YJL223C,DNA-based duplication,YCR104W
YJL223C,DNA-based duplication,YNR076W
YJL223C,DNA-based duplication,YOL161C
YJL223C,DNA-based duplication,YOR394W
YJL223C,DNA-based duplication,YAL068C
YJL223C,DNA-based duplication,YGL261C
YJL222W-B,DNA-based duplication like,YJL222W-A
YJL222W-B,DNA-based duplication like,YNR075C-A
YJL222W-B,DNA-based duplication like,YBL108W
YJL222W-B,DNA-based duplication like,YIR040C
YJL222W-B,DNA-based duplication like,YAL067W-A
YJL222W-B,DNA-based duplication like,YKL223W
YJL222W-B,DNA-based duplication like,YGL260W
YJL222W-A,DNA-based duplication like,YJL222W-B
YJL222W-A,DNA-based duplication,YNR075C-A
YJL222W-A,DNA-based duplication like,YBL108W
YJL222W-A,DNA-based duplication,YIR040C
YJL222W-A,DNA-based duplication,YAL067W-A
YJL222W-A,DNA-based duplication,YKL223W
YJL222W-A,DNA-based duplication like,YGL260W
YJL221C,de novo origination,YJL221C
YJL220W,DNA-based duplication,YIL171W-A
YJL214W,DNA-based duplication,YMR011W
YJL214W,DNA-based duplication,YHR096C
YJL214W,DNA-based duplication,YDR342C
YJL214W,DNA-based duplication,YDL245C
YJL214W,DNA-based duplication,YLR081W
YJL214W,DNA-based duplication,YDR345C
YJL214W,DNA-based duplication,YHR094C
YJL214W,DNA-based duplication,YOL156W
YJL214W,DNA-based duplication,YFL011W
YJL214W,DNA-based duplication,YDR343C
YJL214W,DNA-based duplication,YJL219W
YJL214W,DNA-based duplication,YEL069C
YJL214W,DNA-based duplication,YHR092C
YJL214W,DNA-based duplication,YJR158W
YJL218W,de novo origination,YJL218W
YJL217W,de novo origination,YJL217W
YJL216C,DNA-based duplication,YIL172C
YJL216C,DNA-based duplication,YBR299W
YJL216C,DNA-based duplication,YGR292W
YJL216C,DNA-based duplication,YGR287C
YJL216C,DNA-based duplication,YOL157C
YJL213W,de novo origination,YJL213W
YJL205C,de novo origination,YJL205C
YAL068C,DNA-based duplication,YLR461W
YAL068C,DNA-based duplication,YMR325W
YAL068C,DNA-based duplication,YIR041W
YAL068C,DNA-based duplication,YLR037C
YAL068C,DNA-based duplication,YGR294W
YAL068C,DNA-based duplication,YIL176C
YAL068C,DNA-based duplication,YEL049W
YAL068C,DNA-based duplication,YLL064C
YAL068C,DNA-based duplication,YKL224C
YAL068C,DNA-based duplication,YDR542W
YAL068C,DNA-based duplication like,YJR151C
YAL068C,DNA-based duplication like,YJR150C
YAL068C,DNA-based duplication,YHL046C
YAL068C,DNA-based duplication,YPL282C
YAL068C,DNA-based duplication,YBR301W
YAL068C,DNA-based duplication,YFL020C
YAL068C,DNA-based duplication,YAR020C
YAL068C,DNA-based duplication,YLL025W
YAL068C,DNA-based duplication,YBL108C-A
YAL068C,DNA-based duplication,YJL223C
YAL068C,DNA-based duplication,YCR104W
YAL068C,DNA-based duplication,YNR076W
YAL068C,DNA-based duplication,YOL161C
YAL068C,DNA-based duplication,YOR394W
YAL068C,DNA-based duplication,YGL261C
YAL064C-A,DNA-based duplication like,YHR211W
YAL064C-A,DNA-based duplication,YHR213W
YAL064C-A,DNA-based duplication like,YKR102W
YAL064C-A,DNA-based duplication like,YAR050W
YAL064C-A,DNA-based duplication like,YAL063C
YAL064C-A,DNA-based duplication like,YFL051C
YAL064C-A,DNA-based duplication like,YHR212W-A
YAL063C,DNA-based duplication,YHR211W
YAL063C,DNA-based duplication,YAL064C-A
YAL063C,DNA-based duplication,YHR213W
YAL063C,DNA-based duplication like,YKR102W
YAL063C,DNA-based duplication,YAR050W
YAL063C,DNA-based duplication like,YFL051C
YAL063C,DNA-based duplication,YHR212W-A
YAL061W,DNA-based duplication,YAL060W
YAL029C,DNA-based duplication like,YHR023W
YAL029C,DNA-based duplication like,YOR326W
YAL004W,DNA-based duplication like,YDL228C
YAR020C,DNA-based duplication like,YLR461W
YAR020C,DNA-based duplication like,YMR325W
YAR020C,DNA-based duplication like,YIR041W
YAR020C,DNA-based duplication like,YLR037C
YAR020C,DNA-based duplication like,YGR294W
YAR020C,DNA-based duplication like,YIL176C
YAR020C,DNA-based duplication like,YEL049W
YAR020C,DNA-based duplication like,YLL064C
YAR020C,DNA-based duplication like,YKL224C
YAR020C,DNA-based duplication like,YDR542W
YAR020C,DNA-based duplication like,YJR151C
YAR020C,DNA-based duplication like,YJR150C
YAR020C,DNA-based duplication like,YHL046C
YAR020C,DNA-based duplication like,YPL282C
YAR020C,DNA-based duplication like,YBR301W
YAR020C,DNA-based duplication like,YFL020C
YAR020C,DNA-based duplication like,YBL108C-A
YAR020C,DNA-based duplication like,YLL025W
YAR020C,DNA-based duplication like,YJL223C
YAR020C,DNA-based duplication like,YCR104W
YAR020C,DNA-based duplication like,YNR076W
YAR020C,DNA-based duplication like,YOL161C
YAR020C,DNA-based duplication like,YOR394W
YAR020C,DNA-based duplication like,YAL068C
YAR020C,DNA-based duplication like,YGL261C
YAR023C,DNA-based duplication like,YAR033W
YAR023C,DNA-based duplication like,YCR007C
YAR023C,DNA-based duplication like,YAR028W
YAR023C,DNA-based duplication like,YHL044W
YAR023C,DNA-based duplication like,YAR031W
YAR023C,DNA-based duplication like,YAR027W
YAR023C,DNA-based duplication like,YGL053W
YAR023C,DNA-based duplication like,YGL051W
YAR027W,DNA-based duplication like,YAR033W
YAR027W,DNA-based duplication like,YCR007C
YAR027W,DNA-based duplication,YAR028W
YAR027W,DNA-based duplication like,YHL044W
YAR027W,DNA-based duplication like,YAR031W
YAR027W,DNA-based duplication like,YAR023C
YAR027W,DNA-based duplication like,YGL053W
YAR027W,DNA-based duplication like,YGL051W
YAR028W,DNA-based duplication like,YAR033W
YAR028W,DNA-based duplication like,YCR007C
YAR028W,DNA-based duplication like,YHL044W
YAR028W,DNA-based duplication like,YAR031W
YAR028W,DNA-based duplication,YAR027W
YAR028W,DNA-based duplication like,YAR023C
YAR028W,DNA-based duplication like,YGL053W
YAR028W,DNA-based duplication like,YGL051W
YAR031W,DNA-based duplication,YAR033W
YAR031W,DNA-based duplication like,YCR007C
YAR031W,DNA-based duplication like,YAR028W
YAR031W,DNA-based duplication like,YHL044W
YAR031W,DNA-based duplication like,YAR027W
YAR031W,DNA-based duplication like,YAR023C
YAR031W,DNA-based duplication,YGL053W
YAR031W,DNA-based duplication,YGL051W
YAR033W,DNA-based duplication like,YCR007C
YAR033W,DNA-based duplication like,YAR028W
YAR033W,DNA-based duplication like,YHL044W
YAR033W,DNA-based duplication like,YAR031W
YAR033W,DNA-based duplication like,YAR027W
YAR033W,DNA-based duplication like,YAR023C
YAR033W,DNA-based duplication,YGL053W
YAR033W,DNA-based duplication,YGL051W
YAR050W,DNA-based duplication,YHR211W
YAR050W,DNA-based duplication,YAL064C-A
YAR050W,DNA-based duplication,YHR213W
YAR050W,DNA-based duplication like,YKR102W
YAR050W,DNA-based duplication,YAL063C
YAR050W,DNA-based duplication like,YFL051C
YAR050W,DNA-based duplication,YHR212W-A
YAR071W,DNA-based duplication,YBR093C
YAR071W,DNA-based duplication,YDL024C
YAR071W,DNA-based duplication,YHR215W
YAR071W,DNA-based duplication,YBR092C
YBL113C,retroposition like,YIL177C
YBL113C,DNA-based duplication like,YLR462W
YBL113C,retroposition,YHL050C
YBL113C,DNA-based duplication like,YDR545W
YBL113C,DNA-based duplication,YHR219W
YBL113C,DNA-based duplication like,YBL112C
YBL113C,DNA-based duplication like,YEL077C
YBL113C,DNA-based duplication like,YFL066C
YBL113C,DNA-based duplication like,YHR218W-A
YBL113C,retroposition like,YLL066C
YBL113C,retroposition like,YBL111C
YBL113C,DNA-based duplication like,YER190W
YBL113C,retroposition like,YML133C
YBL113C,retroposition like,YJL225C
YBL113C,DNA-based duplication like,YLR467W
YBL113C,retroposition like,YPL283C
YBL113C,DNA-based duplication,YPR204W
YBL113C,DNA-based duplication like,YLR466W
YBL113C,DNA-based duplication like,YOR396W
YBL113C,retroposition like,YGR296W
YBL113C,retroposition like,YLL067C
YBL113C,retroposition like,YNL339C
YBL113C,retroposition like,YHR218W
YBL111C,DNA-based duplication like,YIL177C
YBL111C,DNA-based duplication like,YLR462W
YBL111C,DNA-based duplication like,YHL050C
YBL111C,DNA-based duplication like,YDR545W
YBL111C,DNA-based duplication like,YHR219W
YBL111C,DNA-based duplication like,YBL112C
YBL111C,DNA-based duplication like,YEL077C
YBL111C,DNA-based duplication,YFL066C
YBL111C,DNA-based duplication like,YHR218W-A
YBL111C,DNA-based duplication like,YLL066C
YBL111C,DNA-based duplication like,YER190W
YBL111C,DNA-based duplication like,YML133C
YBL111C,DNA-based duplication like,YJL225C
YBL111C,DNA-based duplication like,YLR467W
YBL111C,DNA-based duplication like,YPL283C
YBL111C,DNA-based duplication like,YPR204W
YBL111C,DNA-based duplication like,YBL113C
YBL111C,DNA-based duplication like,YLR466W
YBL111C,DNA-based duplication like,YOR396W
YBL111C,DNA-based duplication like,YGR296W
YBL111C,DNA-based duplication like,YLL067C
YBL111C,DNA-based duplication like,YNL339C
YBL111C,DNA-based duplication,YHR218W
YBL112C,retroposition like,YIL177C
YBL112C,DNA-based duplication like,YLR462W
YBL112C,retroposition like,YHL050C
YBL112C,DNA-based duplication like,YDR545W
YBL112C,DNA-based duplication like,YHR219W
YBL112C,DNA-based duplication like,YEL077C
YBL112C,DNA-based duplication like,YFL066C
YBL112C,DNA-based duplication,YHR218W-A
YBL112C,retroposition like,YLL066C
YBL112C,retroposition like,YBL111C
YBL112C,DNA-based duplication like,YER190W
YBL112C,retroposition like,YML133C
YBL112C,retroposition like,YJL225C
YBL112C,DNA-based duplication like,YLR467W
YBL112C,retroposition like,YPL283C
YBL112C,DNA-based duplication like,YPR204W
YBL112C,DNA-based duplication like,YBL113C
YBL112C,DNA-based duplication like,YLR466W
YBL112C,DNA-based duplication like,YOR396W
YBL112C,retroposition like,YGR296W
YBL112C,retroposition like,YLL067C
YBL112C,retroposition like,YNL339C
YBL112C,retroposition like,YHR218W
YBL108C-A,DNA-based duplication like,YLR461W
YBL108C-A,DNA-based duplication like,YMR325W
YBL108C-A,DNA-based duplication like,YIR041W
YBL108C-A,DNA-based duplication like,YLR037C
YBL108C-A,DNA-based duplication like,YGR294W
YBL108C-A,DNA-based duplication like,YIL176C
YBL108C-A,DNA-based duplication like,YEL049W
YBL108C-A,DNA-based duplication like,YLL064C
YBL108C-A,DNA-based duplication like,YKL224C
YBL108C-A,DNA-based duplication like,YDR542W
YBL108C-A,DNA-based duplication like,YJR151C
YBL108C-A,DNA-based duplication like,YJR150C
YBL108C-A,DNA-based duplication like,YHL046C
YBL108C-A,DNA-based duplication like,YPL282C
YBL108C-A,DNA-based duplication like,YBR301W
YBL108C-A,DNA-based duplication like,YFL020C
YBL108C-A,DNA-based duplication like,YAR020C
YBL108C-A,DNA-based duplication like,YLL025W
YBL108C-A,DNA-based duplication like,YJL223C
YBL108C-A,DNA-based duplication like,YCR104W
YBL108C-A,DNA-based duplication like,YNR076W
YBL108C-A,DNA-based duplication like,YOL161C
YBL108C-A,DNA-based duplication like,YOR394W
YBL108C-A,DNA-based duplication like,YAL068C
YBL108C-A,DNA-based duplication like,YGL261C
YBL108W,DNA-based duplication,YJL222W-B
YBL108W,DNA-based duplication,YJL222W-A
YBL108W,DNA-based duplication,YNR075C-A
YBL108W,DNA-based duplication,YIR040C
YBL108W,DNA-based duplication like,YAL067W-A
YBL108W,DNA-based duplication,YKL223W
YBL108W,DNA-based duplication,YGL260W
YAL067W-A,DNA-based duplication like,YJL222W-B
YAL067W-A,DNA-based duplication,YJL222W-A
YAL067W-A,DNA-based duplication,YNR075C-A
YAL067W-A,DNA-based duplication like,YBL108W
YAL067W-A,DNA-based duplication,YIR040C
YAL067W-A,DNA-based duplication,YKL223W
YAL067W-A,DNA-based duplication like,YGL260W
YDR423C,de novo origination,YDR423C
YDR441C,DNA-based duplication,YML022W
YDR451C,DNA-based duplication like,YML027W
YDR461W,DNA-based duplication,YNL145W
YDR461C-A,de novo origination,YDR461C-A
YDR480W,de novo origination,YDR480W
YFR055W,DNA-based duplication like,YHR112C
YFR055W,DNA-based duplication like,YLR303W
YGL263W,DNA-based duplication like,YML132W
YGL263W,DNA-based duplication like,YBR302C
YGL263W,DNA-based duplication like,YHL048W
YGL263W,DNA-based duplication like,YGR295C
YGL263W,DNA-based duplication like,YHL043W
YGL263W,DNA-based duplication like,YJR161C
YGL263W,DNA-based duplication like,YNL336W
YGL263W,DNA-based duplication like,YNR075W
YGL263W,DNA-based duplication like,YFL062W
YGL263W,DNA-based duplication like,YHL042W
YGL263W,DNA-based duplication like,YKL219W
YGL263W,DNA-based duplication like,YDL248W
YGL262W,DNA-based duplication like,YER187W
YGL261C,DNA-based duplication,YLR461W
YGL261C,DNA-based duplication,YMR325W
YGL261C,DNA-based duplication,YIR041W
YGL261C,DNA-based duplication,YLR037C
YGL261C,DNA-based duplication,YGR294W
YGL261C,DNA-based duplication,YIL176C
YGL261C,DNA-based duplication,YEL049W
YGL261C,DNA-based duplication,YLL064C
YGL261C,DNA-based duplication,YKL224C
YGL261C,DNA-based duplication,YDR542W
YGL261C,DNA-based duplication like,YJR151C
YGL261C,DNA-based duplication like,YJR150C
YGL261C,DNA-based duplication,YHL046C
YGL261C,DNA-based duplication,YPL282C
YGL261C,DNA-based duplication,YBR301W
YGL261C,DNA-based duplication,YFL020C
YGL261C,DNA-based duplication,YAR020C
YGL261C,DNA-based duplication,YLL025W
YGL261C,DNA-based duplication,YBL108C-A
YGL261C,DNA-based duplication,YJL223C
YGL261C,DNA-based duplication,YCR104W
YGL261C,DNA-based duplication,YNR076W
YGL261C,DNA-based duplication,YOL161C
YGL261C,DNA-based duplication,YOR394W
YGL261C,DNA-based duplication,YAL068C
YGL260W,DNA-based duplication,YJL222W-B
YGL260W,DNA-based duplication like,YJL222W-A
YGL260W,DNA-based duplication,YNR075C-A
YGL260W,DNA-based duplication,YBL108W
YGL260W,DNA-based duplication,YIR040C
YGL260W,DNA-based duplication like,YAL067W-A
YGL260W,DNA-based duplication,YKL223W
YGL258W,DNA-based duplication,YOR387C
YGL257C,DNA-based duplication like,YNR059W
YGL257C,DNA-based duplication like,YIL014W
YGL257C,DNA-based duplication like,YER001W
YGL256W,de novo origination,YGL256W
YGL255W,DNA-based duplication like,YLR130C
YGL254W,DNA-based duplication like,YPR186C
YGL254W,DNA-based duplication like,YOR113W
YGL237C,de novo origination,YGL237C
YGL184C,DNA-based duplication like,YAL012W
YGL176C,de novo origination,YGL176C
YGL166W,DNA-based duplication like,YPR008W
YGL158W,DNA-based duplication like,YLR248W
YGL158W,DNA-based duplication like,YDL101C
YOR295W,DNA-based duplication like,YMR233W
YOR304C-A,de novo origination,YOR304C-A
YOR324C,DNA-based duplication like,YAL028W
YOR365C,DNA-based duplication like,YAL053W
YOR365C,DNA-based duplication like,YPL221W
YOR365C,DNA-based duplication like,YGL139W
YNL106C,DNA-based duplication,YOR109W
YNL106C,DNA-based duplication like,YIL002C
YNL093W,DNA-based duplication like,YBR264C
YNL093W,DNA-based duplication like,YLR262C
YNL208W,de novo origination,YNL208W
YNL204C,de novo origination,YNL204C
YNL195C,de novo origination,YNL195C
YNL192W,DNA-based duplication like,YNL191W
YPR134W,de novo origination,YPR134W
YPR169W-A,retroposition,YPR170W-B
YPR193C,DNA-based duplication like,YEL066W
YPR196W,DNA-based duplication,YFL052W
YPR196W,DNA-based duplication,YBR297W
YPR196W,DNA-based duplication,YGR288W
YPR198W,DNA-based duplication like,YGR224W
YPR198W,DNA-based duplication like,YKR105C
YPR198W,DNA-based duplication like,YCL069W
YPR199C,de novo origination,YPR199C
YPR200C,de novo origination,YPR200C
YPR202W,DNA-based duplication,YEL075C
YPR202W,DNA-based duplication like,YFL065C
YPR202W,DNA-based duplication,YFL064C
YPR202W,DNA-based duplication,YHL049C
YPR202W,DNA-based duplication like,YPR203W
YPR202W,DNA-based duplication,YER189W
YPR202W,DNA-based duplication like,YEL076C
YPR203W,DNA-based duplication like,YEL075C
YPR203W,DNA-based duplication,YFL065C
YPR203W,DNA-based duplication like,YFL064C
YPR203W,DNA-based duplication like,YHL049C
YPR203W,retroposition like,YPR202W
YPR203W,DNA-based duplication like,YEL076C
YPR203W,DNA-based duplication like,YER189W
YPR204W,retroposition,YIL177C
YPR204W,DNA-based duplication like,YLR462W
YPR204W,retroposition,YHL050C
YPR204W,DNA-based duplication,YDR545W
YPR204W,DNA-based duplication,YHR219W
YPR204W,DNA-based duplication,YBL112C
YPR204W,DNA-based duplication,YEL077C
YPR204W,DNA-based duplication,YFL066C
YPR204W,DNA-based duplication,YHR218W-A
YPR204W,retroposition,YLL066C
YPR204W,retroposition like,YBL111C
YPR204W,DNA-based duplication,YER190W
YPR204W,retroposition,YML133C
YPR204W,retroposition,YJL225C
YPR204W,DNA-based duplication,YLR467W
YPR204W,retroposition,YPL283C
YPR204W,DNA-based duplication,YBL113C
YPR204W,DNA-based duplication,YLR466W
YPR204W,DNA-based duplication,YOR396W
YPR204W,retroposition,YGR296W
YPR204W,retroposition,YLL067C
YPR204W,retroposition,YNL339C
YPR204W,retroposition like,YHR218W
YPR204C-A,DNA-based duplication,YFL068W
YPR204C-A,DNA-based duplication,YHR219C-A
YPR204C-A,DNA-based duplication,YGR296C-B
YPR204C-A,DNA-based duplication,YLR466C-A
YPR204C-A,DNA-based duplication,YOR396C-A
YPR204C-A,DNA-based duplication,YLL067W-A
YPR204C-A,DNA-based duplication,YJL225W-A
YPR204C-A,DNA-based duplication,YLR467C-A
YPR204C-A,DNA-based duplication,YPL283W-B
YPR204C-A,DNA-based duplication,YDR545C-A
YPR204C-A,DNA-based duplication,YHL050W-A
YPR204C-A,DNA-based duplication,YML133W-B
YPR204C-A,DNA-based duplication,YLL066W-A
YPR204C-A,DNA-based duplication,YBL113W-A
YPR204C-A,DNA-based duplication,YER190C-B
YPR204C-A,DNA-based duplication,YNL339W-B
YPR204C-A,DNA-based duplication,YEL077W-A
YPR204C-A,DNA-based duplication,YIL177W-A
Q0045,DNA-based duplication,Q0070
Q0045,DNA-based duplication,Q0065
Q0060,de novo origination,Q0060
Q0055,DNA-based duplication like,Q0050
Q0050,retroposition like,Q0055
Q0070,DNA-based duplication,Q0045
Q0070,DNA-based duplication like,Q0065
Q0065,DNA-based duplication,Q0045
Q0065,DNA-based duplication like,Q0070
Q0075,de novo origination,Q0075
Q0080,de novo origination,Q0080
Q0085,de novo origination,Q0085
Q0120,DNA-based duplication,Q0105
Q0120,DNA-based duplication like,Q0115
Q0105,DNA-based duplication like,Q0120
Q0105,DNA-based duplication like,Q0115
Q0115,DNA-based duplication,Q0105
Q0115,DNA-based duplication like,Q0120
Q0110,de novo origination,Q0110
Q0130,de novo origination,Q0130
Q0140,de novo origination,Q0140
Q0160,de novo origination,Q0160
Q0250,de novo origination,Q0250
Q0255,de novo origination,Q0255
Q0275,de novo origination,Q0275
YAR029W,de novo origination,YAR029W
YBL091C-A,de novo origination,YBL091C-A
YCR099C,de novo origination,YCR099C
YCR102W-A,de novo origination,YCR102W-A
YDR273W,de novo origination,YDR273W
YEL053W-A,de novo origination,YEL053W-A
YDR417C,de novo origination,YDR417C
YER066W,de novo origination,YER066W
YBL107W-A,de novo origination,YBL107W-A
YFL067W,de novo origination,YFL067W
YIL165C,de novo origination,YIL165C
YJL058C,DNA-based duplication like,YBR270C
YJL048C,DNA-based duplication like,YBR273C
YJL038C,DNA-based duplication like,YJL037W
YJL037W,DNA-based duplication like,YJL038C
YJL026C-A,de novo origination,YJL026C-A
YJR005C-A,DNA-based duplication,YGR169C-A
YKR005C,de novo origination,YKR005C
YKR015C,DNA-based duplication like,YJL043W
YJL043W,DNA-based duplication like,YKR015C
YKR036C,DNA-based duplication like,YJL112W
YKR059W,DNA-based duplication,YJL138C
YKR059W,DNA-based duplication like,YOR046C
YKR059W,DNA-based duplication like,YGL171W
YMR081C,de novo origination,YMR081C
YMR084W,DNA-based duplication like,YMR085W
YMR084W,DNA-based duplication like,YKL104C
YMR085W,DNA-based duplication like,YMR084W
YMR085W,DNA-based duplication like,YKL104C
YMR147W,de novo origination,YMR147W
YMR158C-A,DNA-based duplication like,YDR340W
YDR340W,DNA-based duplication,YMR158C-A
YOR151C,DNA-based duplication like,YPR010C
YOR151C,DNA-based duplication like,YOR207C
YOR179C,de novo origination,YOR179C
YOR192C-C,DNA-based duplication like,YIL060W
YOR192C-C,DNA-based duplication like,YHR145C
YOR192C-C,DNA-based duplication,YER138W-A
YOR207C,DNA-based duplication like,YPR010C
YOR207C,DNA-based duplication like,YOR151C
YOR247W,de novo origination,YOR247W
YBL075C,DNA-based duplication like,YPL106C
YBL075C,DNA-based duplication,YNL209W
YBL075C,DNA-based duplication like,YBR169C
YBL059W,de novo origination,YBL059W
YBL054W,DNA-based duplication like,YER088C
YBL043W,de novo origination,YBL043W
YBR012C,de novo origination,YBR012C
YMR321C,DNA-based duplication like,YPL273W
YMR321C,DNA-based duplication like,YLL062C
YMR323W,DNA-based duplication,YGR254W
YMR323W,DNA-based duplication,YHR174W
YMR323W,DNA-based duplication,YPL281C
YMR323W,DNA-based duplication,YOR393W
YMR324C,DNA-based duplication like,YHL045W
YHL045W,DNA-based duplication,YMR324C
YMR325W,DNA-based duplication,YLR461W
YMR325W,DNA-based duplication,YLR037C
YMR325W,DNA-based duplication,YIR041W
YMR325W,DNA-based duplication,YGR294W
YMR325W,DNA-based duplication,YIL176C
YMR325W,DNA-based duplication,YEL049W
YMR325W,DNA-based duplication,YLL064C
YMR325W,DNA-based duplication,YKL224C
YMR325W,DNA-based duplication,YDR542W
YMR325W,DNA-based duplication like,YJR151C
YMR325W,DNA-based duplication like,YJR150C
YMR325W,DNA-based duplication,YHL046C
YMR325W,DNA-based duplication,YPL282C
YMR325W,DNA-based duplication,YBR301W
YMR325W,DNA-based duplication,YFL020C
YMR325W,DNA-based duplication,YAR020C
YMR325W,DNA-based duplication,YJL223C
YMR325W,DNA-based duplication,YBL108C-A
YMR325W,DNA-based duplication,YLL025W
YMR325W,DNA-based duplication,YCR104W
YMR325W,DNA-based duplication,YNR076W
YMR325W,DNA-based duplication,YOL161C
YMR325W,DNA-based duplication,YOR394W
YMR325W,DNA-based duplication,YAL068C
YMR325W,DNA-based duplication,YGL261C
YMR326C,DNA-based duplication,YDR543C
YMR326C,DNA-based duplication,YER188C-A
YMR326C,DNA-based duplication like,YJR162C
YMR326C,DNA-based duplication,YOL166W-A
YMR326C,DNA-based duplication,YAL068W-A
YMR326C,DNA-based duplication,YNR077C
YMR326C,DNA-based duplication,YNL337W
YMR326C,DNA-based duplication like,YFL063W
YMR326C,DNA-based duplication like,YLL065W
YMR326C,DNA-based duplication like,YKL225W
YNL339C,DNA-based duplication,YIL177C
YNL339C,DNA-based duplication like,YLR462W
YNL339C,DNA-based duplication,YHL050C
YNL339C,DNA-based duplication,YDR545W
YNL339C,DNA-based duplication,YHR219W
YNL339C,DNA-based duplication,YBL112C
YNL339C,DNA-based duplication,YEL077C
YNL339C,DNA-based duplication,YFL066C
YNL339C,DNA-based duplication,YHR218W-A
YNL339C,DNA-based duplication,YLL066C
YNL339C,DNA-based duplication,YBL111C
YNL339C,DNA-based duplication,YER190W
YNL339C,DNA-based duplication,YML133C
YNL339C,DNA-based duplication,YJL225C
YNL339C,DNA-based duplication,YLR467W
YNL339C,DNA-based duplication,YPL283C
YNL339C,DNA-based duplication,YPR204W
YNL339C,DNA-based duplication,YBL113C
YNL339C,DNA-based duplication,YLR466W
YNL339C,DNA-based duplication,YOR396W
YNL339C,DNA-based duplication,YGR296W
YNL339C,DNA-based duplication,YLL067C
YNL339C,DNA-based duplication,YHR218W
YNL339W-B,DNA-based duplication,YFL068W
YNL339W-B,DNA-based duplication,YHR219C-A
YNL339W-B,DNA-based duplication,YGR296C-B
YNL339W-B,DNA-based duplication,YLR466C-A
YNL339W-B,DNA-based duplication,YLL067W-A
YNL339W-B,DNA-based duplication,YJL225W-A
YNL339W-B,DNA-based duplication,YOR396C-A
YNL339W-B,DNA-based duplication,YER190C-B
YNL339W-B,DNA-based duplication,YLR467C-A
YNL339W-B,DNA-based duplication,YDR545C-A
YNL339W-B,DNA-based duplication,YBL113W-A
YNL339W-B,DNA-based duplication,YHL050W-A
YNL339W-B,DNA-based duplication,YML133W-B
YNL339W-B,DNA-based duplication,YPL283W-B
YNL339W-B,DNA-based duplication,YLL066W-A
YNL339W-B,DNA-based duplication,YEL077W-A
YNL339W-B,DNA-based duplication,YPR204C-A
YNL339W-B,DNA-based duplication,YIL177W-A
YNL339W-A,DNA-based duplication,YER190C-A
YNL339W-A,DNA-based duplication,YGR296C-A
YNL339W-A,DNA-based duplication,YPL283W-A
YNL339W-A,DNA-based duplication,YML133W-A
YNL337W,DNA-based duplication,YDR543C
YNL337W,DNA-based duplication,YER188C-A
YNL337W,DNA-based duplication,YJR162C
YNL337W,DNA-based duplication,YOL166W-A
YNL337W,DNA-based duplication,YAL068W-A
YNL337W,DNA-based duplication,YNR077C
YNL337W,DNA-based duplication,YFL063W
YNL337W,DNA-based duplication,YMR326C
YNL337W,DNA-based duplication,YLL065W
YNL337W,DNA-based duplication,YKL225W
YNL336W,DNA-based duplication,YML132W
YNL336W,DNA-based duplication,YBR302C
YNL336W,DNA-based duplication like,YGL263W
YNL336W,DNA-based duplication,YHL048W
YNL336W,DNA-based duplication,YGR295C
YNL336W,DNA-based duplication,YJR161C
YNL336W,DNA-based duplication like,YHL043W
YNL336W,DNA-based duplication like,YNR075W
YNL336W,DNA-based duplication,YFL062W
YNL336W,DNA-based duplication like,YHL042W
YNL336W,DNA-based duplication,YKL219W
YNL336W,DNA-based duplication,YDL248W
YNL335W,DNA-based duplication,YFL061W
YNL331C,DNA-based duplication,YCR107W
YNL331C,DNA-based duplication,YDL243C
YNL331C,DNA-based duplication,YJR155W
YKR098C,DNA-based duplication like,YIL156W
YKR101W,de novo origination,YKR101W
YKR102W,DNA-based duplication like,YHR211W
YKR102W,DNA-based duplication,YAL064C-A
YKR102W,DNA-based duplication,YHR213W
YKR102W,DNA-based duplication like,YAR050W
YKR102W,DNA-based duplication like,YAL063C
YKR102W,DNA-based duplication like,YFL051C
YKR102W,DNA-based duplication,YHR212W-A
YKR103W,DNA-based duplication like,YKR104W
YKR104W,DNA-based duplication like,YKR103W
YKR105C,DNA-based duplication like,YGR224W
YKR105C,DNA-based duplication,YCL069W
