"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"P46675" "OTHER" "1" "STU2" "S. cerevisiae" "Suppressor of TUbulin" "2667" "YLR045C" "S000004035" "ORF"
"Q08548" "OTHER" "1" "ALE1" "S. cerevisiae" "Acyltransferase for Lyso-phosphatidylEthanolamine" "1860" "YOR175C" "S000005701" "ORF"
"P32385" "OTHER" "1" "RNP1" "S. cerevisiae" "RiboNucleoProtein" "750" "YLL046C" "S000003969" "ORF"
"Q12136" "OTHER" "1" "SAS10" "S. cerevisiae" "Something About Silencing" "1833" "YDL153C" "S000002312" "ORF"
"P38228" "OTHER" "1" "TCM62" "S. cerevisiae" "TriCarboxylic acid cycle Mutant" "1719" "YBR044C" "S000000248" "ORF"
"P50873" "OTHER" "1" "MRK1" "S. cerevisiae" "Mds1p Related Kinase" "1798" "YDL079C" "S000002237" "ORF"
"P43591" "OTHER" "1" "YFH7" "S. cerevisiae" "" "1062" "YFR007W" "S000001903" "ORF"
"P32521" "OTHER" "1" "PAN1" "S. cerevisiae" "Poly(A)-binding protein-dependent poly(A) riboNuclease" "4443" "YIR006C" "S000001445" "ORF"
"P29952" "OTHER" "1" "PMI40" "S. cerevisiae" "PhosphoMannose Isomerase" "1383" "YER003C" "S000000805" "ORF"
"P29029" "OTHER" "1" "CTS1" "S. cerevisiae" "ChiTinaSe" "1689" "YLR286C" "S000004276" "ORF"
"Q06346" "OTHER" "1" "KEI1" "S. cerevisiae" "Kex2-cleavable protein Essential for Inositol phosphorylceramide synthesis" "767" "YDR367W" "S000002775" "ORF"
"P21825" "OTHER" "1" "SEC62" "S. cerevisiae" "SECretory" "825" "YPL094C" "S000006015" "ORF"
"Q06636" "OTHER" "1" "GPI11" "S. cerevisiae" "GlycosylPhosphatidylInositol anchor biosynthesis" "660" "YDR302W" "S000002710" "ORF"
"Q06632" "OTHER" "1" "CFT1" "S. cerevisiae" "Cleavage Factor Two" "4074" "YDR301W" "S000002709" "ORF"
"P36015" "OTHER" "1" "YKT6" "S. cerevisiae" "" "603" "YKL196C" "S000001679" "ORF"
"P04911" "OTHER" "1" "HTA1" "S. cerevisiae" "Histone h Two A" "399" "YDR225W" "S000002633" "ORF"
"Q03631" "OTHER" "1" "WAR1" "S. cerevisiae" "Weak Acid Resistance" "2835" "YML076C" "S000004541" "ORF"
"P33296" "OTHER" "1" "UBC6" "S. cerevisiae" "UBiquitin-Conjugating" "753" "YER100W" "S000000902" "ORF"
"P54072" "OTHER" "1" "" "S. cerevisiae" "" "1731" "YLR152C" "S000004142" "ORF"
"P39960" "OTHER" "1" "BEM2" "S. cerevisiae" "Bud EMergence" "6504" "YER155C" "S000000957" "ORF"
"P19657" "OTHER" "1" "PMA2" "S. cerevisiae" "Plasma Membrane ATPase" "2844" "YPL036W" "S000005957" "ORF"
"P38075" "OTHER" "1" "PDX3" "S. cerevisiae" "PyriDoXine auxotrophy" "687" "YBR035C" "S000000239" "ORF"
"Q03771" "OTHER" "1" "ACL4" "S. cerevisiae" "Assembly Chaperone of RpL4" "1164" "YDR161W" "S000002568" "ORF"
"Q03406" "OTHER" "1" "SLD5" "S. cerevisiae" "Synthetic Lethality with Dpb11-1" "885" "YDR489W" "S000002897" "ORF"
"P38894" "OTHER" "1" "FLO5" "S. cerevisiae" "FLOcculation" "3228" "YHR211W" "S000001254" "ORF"
"Q05788" "OTHER" "1" "PNP1" "S. cerevisiae" "purine nucleoside phosphorylase" "936" "YLR209C" "S000004199" "ORF"
"P40533" "OTHER" "1" "TED1" "S. cerevisiae" "Trafficking of Emp24p/Erv25p-dependent cargo Disrupted" "1422" "YIL039W" "S000001301" "ORF"
"Q12487" "OTHER" "1" "MRPL23" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "492" "YOR150W" "S000005676" "ORF"
"P39515" "OTHER" "1" "TIM17" "S. cerevisiae" "Translocase of the Inner Mitochondrial membrane" "477" "YJL143W" "S000003679" "ORF"
"Q12113" "OTHER" "1" "" "S. cerevisiae" "" "" "YOR192C-B" "S000007354" "TransposableElementGene"
"Q12412" "OTHER" "1" "PNS1" "S. cerevisiae" "pH Nine Sensitive" "1620" "YOR161C" "S000005687" "ORF"
"P34222" "OTHER" "1" "PTH2" "S. cerevisiae" "Peptidyl-Trna Hydrolase" "627" "YBL057C" "S000000153" "ORF"
"Q07527" "OTHER" "1" "TRM3" "S. cerevisiae" "Transfer RNA Methyltransferase" "4311" "YDL112W" "S000002270" "ORF"
"P46992" "OTHER" "1" "TOH1" "S. cerevisiae" "TOS One Homolog" "1191" "YJL171C" "S000003707" "ORF"
"P32634" "OTHER" "1" "PMD1" "S. cerevisiae" "Paralog of MDS3" "5262" "YER132C" "S000000934" "ORF"
"P48510" "OTHER" "1" "DSK2" "S. cerevisiae" "Dominant Suppressor of kar1" "1122" "YMR276W" "S000004889" "ORF"
"P17157" "OTHER" "1" "PHO85" "S. cerevisiae" "PHOsphate metabolism" "1020" "YPL031C" "S000005952" "ORF"
"P00425" "OTHER" "1" "COX5B" "S. cerevisiae" "Cytochrome c OXidase" "544" "YIL111W" "S000001373" "ORF"
"P14736" "OTHER" "1" "RAD4" "S. cerevisiae" "RADiation sensitive" "2265" "YER162C" "S000000964" "ORF"
"P60010" "OTHER" "1" "ACT1" "S. cerevisiae" "ACTin" "1437" "YFL039C" "S000001855" "ORF"
"Q06089" "OTHER" "1" "TMH18" "S. cerevisiae" "TMem205 Homolog of 18 kDa" "582" "YPR098C" "S000006302" "ORF"
"P35723" "OTHER" "1" "YET1" "S. cerevisiae" "Yeast Endoplasmic reticulum Transmembrane protein" "621" "YKL065C" "S000001548" "ORF"
"P21592" "OTHER" "1" "COX10" "S. cerevisiae" "Cytochrome c OXidase" "1389" "YPL172C" "S000006093" "ORF"
"P52490" "OTHER" "1" "UBC13" "S. cerevisiae" "UBiquitin-Conjugating" "730" "YDR092W" "S000002499" "ORF"
"P37298" "OTHER" "1" "SDH4" "S. cerevisiae" "Succinate DeHydrogenase" "546" "YDR178W" "S000002585" "ORF"
"P53538" "OTHER" "1" "SSU72" "S. cerevisiae" "Suppressor of SUa7, gene 2" "621" "YNL222W" "S000005166" "ORF"
"P36025" "OTHER" "1" "" "S. cerevisiae" "" "807" "YOR062C" "S000005588" "ORF"
"Q03266" "OTHER" "1" "ABZ2" "S. cerevisiae" "para-AminoBenZoic acid (PABA) biosynthesis" "1125" "YMR289W" "S000004902" "ORF"
"P38077" "OTHER" "1" "ATP3" "S. cerevisiae" "ATP synthase" "936" "YBR039W" "S000000243" "ORF"
"P38820" "OTHER" "1" "UBA4" "S. cerevisiae" "UBiquitin-Activating" "1323" "YHR111W" "S000001153" "ORF"
"P34223" "OTHER" "1" "SHP1" "S. cerevisiae" "Suppressor of High-copy PP1" "1272" "YBL058W" "S000000154" "ORF"
"P08417" "OTHER" "1" "FUM1" "S. cerevisiae" "FUMarase" "1467" "YPL262W" "S000006183" "ORF"
"P33413" "OTHER" "1" "DUR3" "S. cerevisiae" "Degradation of URea" "2208" "YHL016C" "S000001008" "ORF"
"P17555" "OTHER" "1" "SRV2" "S. cerevisiae" "Suppressor of RasVal19" "1581" "YNL138W" "S000005082" "ORF"
"P34220" "OTHER" "1" "" "S. cerevisiae" "" "1257" "YBL055C" "S000000151" "ORF"
"P53688" "OTHER" "1" "HST4" "S. cerevisiae" "Homolog of SIR Two (SIR2)" "1113" "YDR191W" "S000002599" "ORF"
"P38750" "OTHER" "1" "" "S. cerevisiae" "" "1884" "YHL008C" "S000001000" "ORF"
"P32842" "OTHER" "1" "VMA11" "S. cerevisiae" "Vacuolar Membrane Atpase" "495" "YPL234C" "S000006155" "ORF"
"P48561" "OTHER" "1" "TRF5" "S. cerevisiae" "Topoisomerase one-Related Function" "1929" "YNL299W" "S000005243" "ORF"
"P41903" "OTHER" "1" "TES1" "S. cerevisiae" "ThioESterase" "1050" "YJR019C" "S000003780" "ORF"
"P32573" "OTHER" "1" "SPS19" "S. cerevisiae" "SPorulation-Specific" "879" "YNL202W" "S000005146" "ORF"
"P24719" "OTHER" "1" "MEK1" "S. cerevisiae" "MEiotic Kinase" "1494" "YOR351C" "S000005878" "ORF"
"Q12164" "OTHER" "1" "POM33" "S. cerevisiae" "POre Membrane, 33 kDa" "840" "YLL023C" "S000003946" "ORF"
"P27637" "OTHER" "1" "BUD14" "S. cerevisiae" "BUD site selection" "2130" "YAR014C" "S000000069" "ORF"
"P40535" "OTHER" "1" "CST6" "S. cerevisiae" "Chromosome STability" "1764" "YIL036W" "S000001298" "ORF"
"Q02710" "OTHER" "1" "ECM23" "S. cerevisiae" "ExtraCellular Mutant" "564" "YPL021W" "S000005942" "ORF"
"Q06833" "OTHER" "1" "NVJ2" "S. cerevisiae" "Nucleus-Vacuole Junction" "2313" "YPR091C" "S000006295" "ORF"
"Q12359" "OTHER" "1" "ATO3" "S. cerevisiae" "Ammonia (Ammonium) Transport Outward" "828" "YDR384C" "S000002792" "ORF"
"P53616" "OTHER" "1" "SUN4" "S. cerevisiae" "Sim1 Uth1 Nca3" "1263" "YNL066W" "S000005010" "ORF"
"O14455" "OTHER" "1" "RPL36B" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "541" "YPL249C-A" "S000006438" "ORF"
"P22035" "OTHER" "1" "BAS1" "S. cerevisiae" "BASal" "2436" "YKR099W" "S000001807" "ORF"
"P19211" "OTHER" "1" "ANB1" "S. cerevisiae" "ANaeroBically induced" "474" "YJR047C" "S000003808" "ORF"
"Q06834" "OTHER" "1" "ASR1" "S. cerevisiae" "Alcohol Sensitive Ring/PHD finger" "867" "YPR093C" "S000006297" "ORF"
"P46990" "OTHER" "1" "RPL17B" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "872" "YJL177W" "S000003713" "ORF"
"P24521" "OTHER" "1" "ERG8" "S. cerevisiae" "ERGosterol biosynthesis" "1356" "YMR220W" "S000004833" "ORF"
"P25628" "OTHER" "1" "ARE1" "S. cerevisiae" "Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme" "1833" "YCR048W" "S000000644" "ORF"
"P32909" "OTHER" "1" "SMY2" "S. cerevisiae" "Suppressor of MYo2-66" "2223" "YBR172C" "S000000376" "ORF"
"P39969" "OTHER" "1" "BOI2" "S. cerevisiae" "Bem1 (One) Interacting protein" "3123" "YER114C" "S000000916" "ORF"
"P27636" "OTHER" "1" "CDC15" "S. cerevisiae" "Cell Division Cycle" "2925" "YAR019C" "S000000072" "ORF"
"P32572" "OTHER" "1" "SPS18" "S. cerevisiae" "SPorulation-Specific" "903" "YNL204C" "S000005148" "ORF"
"P48562" "OTHER" "1" "CLA4" "S. cerevisiae" "CLn Activity dependant" "2529" "YNL298W" "S000005242" "ORF"
"Q00453" "OTHER" "1" "RGM1" "S. cerevisiae" "" "636" "YMR182C" "S000004794" "ORF"
"P34221" "OTHER" "1" "PTC3" "S. cerevisiae" "Phosphatase Two C" "1407" "YBL056W" "S000000152" "ORF"
"P21623" "OTHER" "1" "DIT1" "S. cerevisiae" "DITyrosine" "1611" "YDR403W" "S000002811" "ORF"
"P38821" "OTHER" "1" "APE4" "S. cerevisiae" "" "1473" "YHR113W" "S000001155" "ORF"
"P51533" "OTHER" "1" "PDR10" "S. cerevisiae" "Pleiotropic Drug Resistance" "4695" "YOR328W" "S000005855" "ORF"
"Q04226" "OTHER" "1" "TAF11" "S. cerevisiae" "TATA binding protein-Associated Factor" "1041" "YML015C" "S000004477" "ORF"
"Q05787" "OTHER" "1" "HRD3" "S. cerevisiae" "HMG-coA Reductase Degradation" "2502" "YLR207W" "S000004197" "ORF"
"P52286" "OTHER" "1" "SKP1" "S. cerevisiae" "Suppressor of Kinetochore Protein mutant" "585" "YDR328C" "S000002736" "ORF"
"P14065" "OTHER" "1" "GCY1" "S. cerevisiae" "Galactose-inducible Crystallin-like Yeast protein" "939" "YOR120W" "S000005646" "ORF"
"P32900" "OTHER" "1" "SKG6" "S. cerevisiae" "Suppressor of lethality of Kex2 Gas1 double null mutant" "2205" "YHR149C" "S000001192" "ORF"
"P19955" "OTHER" "1" "YMR31" "S. cerevisiae" "Yeast Mitochondrial Ribosomal protein" "372" "YFR049W" "S000001945" "ORF"
"P36523" "OTHER" "1" "MRPL15" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "762" "YLR312W-A" "S000004304" "ORF"
"P05986" "OTHER" "1" "TPK3" "S. cerevisiae" "Takashi's Protein Kinase" "1197" "YKL166C" "S000001649" "ORF"
"Q12486" "OTHER" "1" "" "S. cerevisiae" "" "657" "YOR131C" "S000005657" "ORF"
"P48743" "OTHER" "1" "RFX1" "S. cerevisiae" "Regulatory Factor X" "2436" "YLR176C" "S000004166" "ORF"
"P38822" "OTHER" "1" "BZZ1" "S. cerevisiae" "" "1902" "YHR114W" "S000001156" "ORF"
"P48563" "OTHER" "1" "MON2" "S. cerevisiae" "MONensin sensitivity" "4911" "YNL297C" "S000005241" "ORF"
"P39931" "OTHER" "1" "SSP120" "S. cerevisiae" "Saccharomyces Secretory Protein" "705" "YLR250W" "S000004240" "ORF"
"P41811" "OTHER" "1" "SEC27" "S. cerevisiae" "SECretory" "2870" "YGL137W" "S000003105" "ORF"
"P53127" "OTHER" "1" "SNT2" "S. cerevisiae" "" "4212" "YGL131C" "S000003099" "ORF"
"Q04121" "OTHER" "1" "NHX1" "S. cerevisiae" "Na+/H+ eXchanger" "1902" "YDR456W" "S000002864" "ORF"
"P41913" "OTHER" "1" "GDS1" "S. cerevisiae" "" "1569" "YOR355W" "S000005882" "ORF"
"P25626" "OTHER" "1" "IMG1" "S. cerevisiae" "Integrity of Mitochondrial Genome" "510" "YCR046C" "S000000642" "ORF"
"P21374" "OTHER" "1" "ISY1" "S. cerevisiae" "Interactor of SYf1p" "708" "YJR050W" "S000003811" "ORF"
"P14905" "OTHER" "1" "CBS2" "S. cerevisiae" "Cytochrome B Synthesis" "1170" "YDR197W" "S000002605" "ORF"
"Q02794" "OTHER" "1" "STD1" "S. cerevisiae" "Suppressor of Tbp Deletion" "1335" "YOR047C" "S000005573" "ORF"
"P27351" "OTHER" "1" "APL1" "S. cerevisiae" "clathrin Adaptor Protein complex Large chain" "2103" "YJR005W" "S000003765" "ORF"
"P50090" "OTHER" "1" "KEL2" "S. cerevisiae" "KELch repeat" "2649" "YGR238C" "S000003470" "ORF"
"P32590" "OTHER" "1" "SSE2" "S. cerevisiae" "Stress Seventy subfamily E" "2082" "YBR169C" "S000000373" "ORF"
"Q3E846" "OTHER" "1" "COA6" "S. cerevisiae" "Cytochrome Oxidase Assembly" "315" "YMR244C-A" "S000004857" "ORF"
"Q03834" "OTHER" "1" "MSH6" "S. cerevisiae" "MutS Homolog" "3729" "YDR097C" "S000002504" "ORF"
"P48570" "OTHER" "1" "LYS20" "S. cerevisiae" "LYSine requiring" "1287" "YDL182W" "S000002341" "ORF"
"P40107" "OTHER" "1" "VRG4" "S. cerevisiae" "Vandate Resistance Glycosylation" "1014" "YGL225W" "S000003193" "ORF"
"P39961" "OTHER" "1" "TOG1" "S. cerevisiae" "Transcriptional regulator of Oleate utilization Genes" "2385" "YER184C" "S000000986" "ORF"
"P25627" "OTHER" "1" "BUD23" "S. cerevisiae" "BUD site selection" "828" "YCR047C" "S000000643" "ORF"
"P69851" "OTHER" "1" "DAD4" "S. cerevisiae" "Duo1 And Dam1 interacting" "219" "YDR320C-A" "S000007604" "ORF"
"P36007" "OTHER" "1" "SRY1" "S. cerevisiae" "Serine Racemase of Yeast" "981" "YKL218C" "S000001701" "ORF"
"P19263" "OTHER" "1" "RGR1" "S. cerevisiae" "Resistant to Glucose Repression" "3249" "YLR071C" "S000004061" "ORF"
"P46683" "OTHER" "1" "YAR1" "S. cerevisiae" "Yeast Ankyrin Repeat" "603" "YPL239W" "S000006160" "ORF"
"P40530" "OTHER" "1" "PKP1" "S. cerevisiae" "Protein Kinase of PDH" "1185" "YIL042C" "S000001304" "ORF"
"P19524" "OTHER" "1" "MYO2" "S. cerevisiae" "MYOsin" "4725" "YOR326W" "S000005853" "ORF"
"P10963" "OTHER" "1" "PCK1" "S. cerevisiae" "Phosphoenolpyruvate CarboxyKinase" "1650" "YKR097W" "S000001805" "ORF"
"P38630" "OTHER" "1" "RFC1" "S. cerevisiae" "Replication Factor C" "2586" "YOR217W" "S000005743" "ORF"
"Q03263" "OTHER" "1" "ATR2" "S. cerevisiae" "AminoTriazole Resistance" "1623" "YMR279C" "S000004892" "ORF"
"Q07379" "OTHER" "1" "" "S. cerevisiae" "" "987" "YDL057W" "S000002215" "ORF"
"P38899" "OTHER" "1" "" "S. cerevisiae" "" "1911" "YHR218W" "S000001261" "ORF"
"Q05785" "OTHER" "1" "ENT2" "S. cerevisiae" "Epsin N-Terminal homology" "1842" "YLR206W" "S000004196" "ORF"
"P12612" "OTHER" "1" "TCP1" "S. cerevisiae" "Tailless Complex Polypeptide" "1680" "YDR212W" "S000002620" "ORF"
"Q12455" "OTHER" "1" "SPE4" "S. cerevisiae" "SPErmidine auxotroph" "903" "YLR146C" "S000004136" "ORF"
"P38823" "OTHER" "1" "DMA1" "S. cerevisiae" "Defective in Mitotic Arrest" "1251" "YHR115C" "S000001157" "ORF"
"P22213" "OTHER" "1" "SLY1" "S. cerevisiae" "Suppressor of Loss of Ypt1" "2001" "YDR189W" "S000002597" "ORF"
"P39928" "OTHER" "1" "SLN1" "S. cerevisiae" "Synthetic Lethal of N-end rule" "3663" "YIL147C" "S000001409" "ORF"
"P40531" "OTHER" "1" "GVP36" "S. cerevisiae" "Golgi Vesicle Protein" "981" "YIL041W" "S000001303" "ORF"
"Q08975" "OTHER" "1" "THI21" "S. cerevisiae" "THIamine metabolism" "1656" "YPL258C" "S000006179" "ORF"
"P39516" "OTHER" "1" "RPS14B" "S. cerevisiae" "Ribosomal Protein of the Small subunit" "825" "YJL191W" "S000003727" "ORF"
"Q02354" "OTHER" "1" "UTP6" "S. cerevisiae" "U Three Protein" "1323" "YDR449C" "S000002857" "ORF"
"P53343" "OTHER" "1" "PAU12" "S. cerevisiae" "seriPAUperin" "363" "YGR294W" "S000003526" "ORF"
"P53125" "OTHER" "1" "ITC1" "S. cerevisiae" "Imitation switch Two Complex" "3795" "YGL133W" "S000003101" "ORF"
"P48565" "OTHER" "1" "RIM21" "S. cerevisiae" "Regulator of IME2" "1602" "YNL294C" "S000005238" "ORF"
"P13185" "OTHER" "1" "KIN1" "S. cerevisiae" "KINase" "3195" "YDR122W" "S000002529" "ORF"
"P32767" "OTHER" "1" "KAP122" "S. cerevisiae" "KAryoPherin" "3246" "YGL016W" "S000002984" "ORF"
"P27472" "OTHER" "1" "GSY2" "S. cerevisiae" "Glycogen SYnthase" "2118" "YLR258W" "S000004248" "ORF"
"P40354" "OTHER" "1" "NTA1" "S. cerevisiae" "N-Terminal Amidase" "1374" "YJR062C" "S000003823" "ORF"
"P16639" "OTHER" "1" "ATE1" "S. cerevisiae" "Arginyl-tRNA-protein transfErase" "1512" "YGL017W" "S000002985" "ORF"
"P25625" "OTHER" "1" "PER1" "S. cerevisiae" "protein Processing in the ER" "1074" "YCR044C" "S000000640" "ORF"
"P33448" "OTHER" "1" "TOM6" "S. cerevisiae" "Translocase of the Outer Mitochondrial membrane" "186" "YOR045W" "S000005571" "ORF"
"P38824" "OTHER" "1" "COX23" "S. cerevisiae" "Cytochrome OXidase" "456" "YHR116W" "S000001158" "ORF"
"P25515" "OTHER" "1" "VMA3" "S. cerevisiae" "Vacuolar Membrane Atpase" "483" "YEL027W" "S000000753" "ORF"
"Q12415" "OTHER" "1" "TFC7" "S. cerevisiae" "" "1308" "YOR110W" "S000005636" "ORF"
"Q99288" "OTHER" "1" "DET1" "S. cerevisiae" "Decreased Ergosterol Transport" "1005" "YDR051C" "S000002458" "ORF"
"P53615" "OTHER" "1" "NCE103" "S. cerevisiae" "NonClassical Export" "666" "YNL036W" "S000004981" "ORF"
"Q04217" "OTHER" "1" "ECM16" "S. cerevisiae" "ExtraCellular Mutant" "3804" "YMR128W" "S000004735" "ORF"
"Q04969" "OTHER" "1" "SPC2" "S. cerevisiae" "Signal Peptidase Complex" "537" "YML055W" "S000004519" "ORF"
"P32347" "OTHER" "1" "HEM12" "S. cerevisiae" "HEMe biosynthesis" "1089" "YDR047W" "S000002454" "ORF"
"P36010" "OTHER" "1" "YNK1" "S. cerevisiae" "Yeast Nucleoside diphosphate Kinase" "462" "YKL067W" "S000001550" "ORF"
"Q04120" "OTHER" "1" "TSA2" "S. cerevisiae" "Thiol-Specific Antioxidant" "591" "YDR453C" "S000002861" "ORF"
"P32345" "OTHER" "1" "PPH3" "S. cerevisiae" "Protein PHosphatase" "927" "YDR075W" "S000002482" "ORF"
"P38234" "OTHER" "1" "RFS1" "S. cerevisiae" "Rad55 (Fifty-five) Suppressor" "633" "YBR052C" "S000000256" "ORF"
"P40059" "OTHER" "1" "DOT6" "S. cerevisiae" "Disruptor Of Telomeric silencing" "2013" "YER088C" "S000000890" "ORF"
"P06106" "OTHER" "1" "MET17" "S. cerevisiae" "METhionine requiring" "1335" "YLR303W" "S000004294" "ORF"
"Q02197" "OTHER" "1" "MAK10" "S. cerevisiae" "MAintenance of Killer" "2202" "YEL053C" "S000000779" "ORF"
"P48566" "OTHER" "1" "MSB3" "S. cerevisiae" "Multicopy Suppressor of Bud Emergence" "1902" "YNL293W" "S000005237" "ORF"
"Q07930" "OTHER" "1" "PML1" "S. cerevisiae" "Pre-mRNA Leakage" "615" "YLR016C" "S000004006" "ORF"
"P20484" "OTHER" "1" "MAK11" "S. cerevisiae" "MAintenance of Killer" "1407" "YKL021C" "S000001504" "ORF"
"Q12416" "OTHER" "1" "WHI5" "S. cerevisiae" "WHIskey" "888" "YOR083W" "S000005609" "ORF"
"P22579" "OTHER" "1" "SIN3" "S. cerevisiae" "Switch INdependent" "4611" "YOL004W" "S000005364" "ORF"
"P40355" "OTHER" "1" "MNN14" "S. cerevisiae" "MaNNosyltransferase regulator" "2808" "YJR061W" "S000003822" "ORF"
"P04147" "OTHER" "1" "PAB1" "S. cerevisiae" "Poly(A) Binding protein" "1734" "YER165W" "S000000967" "ORF"
"Q04433" "OTHER" "1" "FIT1" "S. cerevisiae" "Facilitator of Iron Transport" "1587" "YDR534C" "S000002942" "ORF"
"Q06149" "OTHER" "1" "PDR8" "S. cerevisiae" "Pleiotropic Drug Resistance" "2106" "YLR266C" "S000004256" "ORF"
"Q03264" "OTHER" "1" "NGL2" "S. cerevisiae" "" "1548" "YMR285C" "S000004898" "ORF"
"Q3E792" "OTHER" "1" "RPS25A" "S. cerevisiae" "Ribosomal Protein of the Small subunit" "327" "YGR027C" "S000003259" "ORF"
"P33304" "OTHER" "1" "AFR1" "S. cerevisiae" "Alpha-Factor Receptor regulator" "1863" "YDR085C" "S000002492" "ORF"
"Q06639" "OTHER" "1" "RSC3" "S. cerevisiae" "Remodel the Structure of Chromatin" "2658" "YDR303C" "S000002711" "ORF"
"P24276" "OTHER" "1" "SSD1" "S. cerevisiae" "Suppressor of SIT4 Deletion" "3753" "YDR293C" "S000002701" "ORF"
"P53123" "OTHER" "1" "MRM2" "S. cerevisiae" "Mitochondrial rRNA Methyl transferase" "963" "YGL136C" "S000003104" "ORF"
"P32478" "OTHER" "1" "HSP150" "S. cerevisiae" "Heat Shock Protein" "1242" "YJL159W" "S000003695" "ORF"
"Q6Q595" "OTHER" "1" "SCS22" "S. cerevisiae" "Suppressor of Choline Sensitivity" "616" "YBL091C-A" "S000007228" "ORF"
"P51402" "OTHER" "1" "RPL37B" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "656" "YDR500C" "S000002908" "ORF"
"P38080" "OTHER" "1" "AKL1" "S. cerevisiae" "Ark family Kinase-Like protein" "3327" "YBR059C" "S000000263" "ORF"
"P42948" "OTHER" "1" "SET4" "S. cerevisiae" "SET domain-containing" "1683" "YJL105W" "S000003641" "ORF"
"P33204" "OTHER" "1" "ARC19" "S. cerevisiae" "ARp2/3 Complex subunit" "516" "YKL013C" "S000001496" "ORF"
"P38235" "OTHER" "1" "" "S. cerevisiae" "" "1077" "YBR053C" "S000000257" "ORF"
"P36006" "OTHER" "1" "MYO3" "S. cerevisiae" "MYOsin" "3819" "YKL129C" "S000001612" "ORF"
"P38825" "OTHER" "1" "TOM71" "S. cerevisiae" "Translocase of the Outer Mitochondrial membrane" "1920" "YHR117W" "S000001159" "ORF"
"P06778" "OTHER" "1" "RAD52" "S. cerevisiae" "RADiation sensitive" "1416" "YML032C" "S000004494" "ORF"
"P38081" "OTHER" "1" "MRX18" "S. cerevisiae" "Mitochondrial oRganization of gene eXpression (MIOREX)" "1506" "YBR056W" "S000000260" "ORF"
"P42223" "OTHER" "1" "SBE2" "S. cerevisiae" "Suppressor of BEm4" "2595" "YDR351W" "S000002759" "ORF"
"P48559" "OTHER" "1" "YPT11" "S. cerevisiae" "Yeast Protein Two" "1254" "YNL304W" "S000005248" "ORF"
"P32501" "OTHER" "1" "GCD6" "S. cerevisiae" "General Control Derepressed" "2139" "YDR211W" "S000002619" "ORF"
"P53124" "OTHER" "1" "PCL10" "S. cerevisiae" "Pho85 CycLin" "1302" "YGL134W" "S000003102" "ORF"
"Q05533" "OTHER" "1" "INM2" "S. cerevisiae" "INositol Monophosphatase" "879" "YDR287W" "S000002695" "ORF"
"P41901" "OTHER" "1" "SPR3" "S. cerevisiae" "SPorulation Regulated" "1539" "YGR059W" "S000003291" "ORF"
"P38826" "OTHER" "1" "ORC6" "S. cerevisiae" "Origin Recognition Complex" "1308" "YHR118C" "S000001160" "ORF"
"P42947" "OTHER" "1" "" "S. cerevisiae" "" "1164" "YJL107C" "S000003643" "ORF"
"P45976" "OTHER" "1" "FIP1" "S. cerevisiae" "Factor Interacting with Poly(A) polymerase" "984" "YJR093C" "S000003853" "ORF"
"P32899" "OTHER" "1" "IMP3" "S. cerevisiae" "Interacting with Mpp10p" "552" "YHR148W" "S000001191" "ORF"
"Q12265" "OTHER" "1" "PRS5" "S. cerevisiae" "PhosphoRibosylpyrophosphate Synthetase" "1491" "YOL061W" "S000005422" "ORF"
"P89105" "OTHER" "1" "CTR9" "S. cerevisiae" "Cln Three (CLN3) Requiring" "3234" "YOL145C" "S000005505" "ORF"
"Q06001" "OTHER" "1" "FAR10" "S. cerevisiae" "Factor ARrest" "1437" "YLR238W" "S000004228" "ORF"
"P20134" "OTHER" "1" "SFL1" "S. cerevisiae" "Suppressor gene for FLocculation" "2301" "YOR140W" "S000005666" "ORF"
"P22007" "OTHER" "1" "RAM1" "S. cerevisiae" "RAS protein and A-factor Maturation" "1296" "YDL090C" "S000002248" "ORF"
"P54199" "OTHER" "1" "MPS1" "S. cerevisiae" "MonoPolar Spindle" "2295" "YDL028C" "S000002186" "ORF"
"P33895" "OTHER" "1" "NUF2" "S. cerevisiae" "NUclear Filament-containing protein" "1356" "YOL069W" "S000005430" "ORF"
"P38236" "OTHER" "1" "MUM2" "S. cerevisiae" "MUddled Meiosis" "1101" "YBR057C" "S000000261" "ORF"
"P53048" "OTHER" "1" "MAL11" "S. cerevisiae" "MALtose fermentation" "1851" "YGR289C" "S000003521" "ORF"
"P33203" "OTHER" "1" "PRP40" "S. cerevisiae" "Pre-mRNA Processing" "1752" "YKL012W" "S000001495" "ORF"
"P38991" "OTHER" "1" "IPL1" "S. cerevisiae" "Increase in PLoidy" "1104" "YPL209C" "S000006130" "ORF"
"P53122" "OTHER" "1" "" "S. cerevisiae" "" "1038" "YGL138C" "S000003106" "ORF"
"P00724" "OTHER" "1" "SUC2" "S. cerevisiae" "SUCrose" "1599" "YIL162W" "S000001424" "ORF"
